User_Name,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range,Class
NiallOfficial,0.15487205199999998,0.35867539299999995,0.42191489600000004,0.9551881740000001,0.668187682,D
coldplay,0.7373724559999999,0.558032702,0.46649256899999997,0.29580223,0.867801816,D
ricky_martin,0.16803855,0.271865539,0.391986684,0.255043807,0.294753165,D
NICKIMINAJ,0.383515457,0.263313384,0.156191377,0.028979709,0.451055338,D
blakeshelton,0.5384985999999999,0.9539994759999999,0.450489356,0.41175550899999996,0.04670490099999999,D
AnushkaSharma,0.988425723,0.7509737459999999,0.409911989,0.7014790190000001,0.20735297800000002,D
ManUtd,0.065291418,0.8570148790000001,0.014361425,0.16584470699999998,0.9915876379999999,D
Reuters,0.663044369,0.590751633,0.557535696,0.23251365,0.844655127,D
AvrilLavigne,0.145204109,0.734725333,0.695384137,0.856433212,0.395499152,A
MariahCarey,0.26854057600000003,0.796121651,0.20625255,0.09018197,0.142040028,D
arrahman,0.507363696,0.852887885,0.337919542,0.9673859429999999,0.606357928,D
ShawnMendes,0.493499519,0.823840228,0.9969874479999999,0.998683718,0.19468964,A
MesutOzil1088,0.160877038,0.831746005,0.236067687,0.874126561,0.767587389,D
andresiniesta8,0.272993883,0.279183756,0.413720315,0.25915440300000003,0.8584447000000001,D
pitbull,0.080449173,0.757160687,0.788992942,0.342734062,0.81212498,C
ActuallyNPH,0.7651543690000001,0.6837915720000001,0.269989617,0.263159352,0.38702634,D
KendallJenner,0.7573813909999999,0.9864235370000001,0.692992994,0.828240249,0.17770459,A
aliciakeys,0.941961267,0.423908412,0.817548576,0.582515507,0.9403357459999999,D
onedirection,0.278112201,0.968904795,0.7858129420000001,0.9977123529999999,0.8554573540000001,A
LiamPayne,0.092430586,0.837024757,0.36747688799999995,0.28741836,0.574764569,D
Pink,0.781046263,0.190481222,0.923459013,0.977729167,0.368851407,B
KylieJenner,0.694265318,0.781745611,0.8011450590000001,0.381667615,0.610125975,C
Louis_Tomlinson,0.338139676,0.662036119,0.134411085,0.24316768100000002,0.58645957,D
potus,0.797178743,0.968557957,0.343585153,0.489616075,0.127055587,D
LilTunechi,0.170974848,0.42411782200000003,0.193135227,0.128187632,0.9399207620000001,D
